# Plate File Name: /Users/chazmanchilders/Desktop/20200420-zymo-negatives/Zymo_Negatives_2020-04-20.eds
# Description: 
# User Name: 
# Last Modified Date/Time: 2020-04-20 10:34:46 PM PDT
# Date Created: 2020-04-29 03:42:54 PM PDT
# Barcode: 
# Instrument Type: 7500 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 
# Instrument Serial Number: null
# Plate Run Start Date/Time: 2020-04-20 08:26:20 PM PDT
# Plate Run End Date/Time: 2020-04-20 10:20:29 PM PDT
# Run Duration: 114 minutes 8 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: Stage 1, Step 1
# Post-read Stage/Step: Stage 4, Step 1
# Passive Reference: null
# Quantification Cycle Method: CT
"Well","Well Position","Cycle Number","1","2","3","4","5"
"66","F6","3","72843.555","4580.377","223.99591","0.0","0.0"
"67","F7","3","0.0","0.0","65.32526","359.1427","0.0"
"68","F8","3","101810.12","7584.9155","619.14734","0.0","0.0"
"69","F9","3","0.0","0.0","130.7774","180.11201","0.0"
"70","F10","3","0.0","0.0","0.0","0.0","0.0"
"71","F11","3","18754.56","5245.9746","3517.3767","3752.1484","1986.3651"
"72","F12","3","0.0","576.3371","315.44128","0.0","0.0"
"73","G1","3","97985.695","9428.641","514.3782","0.0","0.0"
"74","G2","3","101586.69","9477.54","1038.6669","47.83272","2083.253"
"75","G3","3","92193.59","7706.928","678.66077","0.0","0.0"
"76","G4","3","71798.17","4158.5903","0.0","0.0","0.0"
"77","G5","3","71515.64","4104.288","0.0","0.0","0.0"
"78","G6","3","72299.07","4041.9893","0.0","0.0","0.0"
"79","G7","3","0.0","290.40067","313.08804","41.72148","0.0"
"80","G8","3","111251.48","9170.752","1345.1746","178.16435","0.0"
"81","G9","3","0.0","0.0","0.0","0.0","0.0"
"82","G10","3","0.0","0.0","0.0","0.0","33.4047"
"83","G11","3","0.0","523.1067","175.28763","0.0","1836.6426"
"84","G12","3","0.0","283.4013","152.38614","140.71574","424.66373"
"85","H1","3","93571.54","7884.932","0.0","0.0","0.0"
"86","H2","3","81908.48","7745.921","757.44617","126.44835","0.0"
"87","H3","3","3111.3247","774.3255","547.10864","419.0968","0.0"
"88","H4","3","75062.375","5221.678","142.27588","0.0","302.10187"
"89","H5","3","74282.59","4809.569","427.79938","253.66483","95.4119"
