# Plate File Name: /Users/chazmanchilders/Desktop/20200421-zymo-negatives/Zymo_Negatives_2020-4-21.eds
# Description: 
# User Name: 
# Last Modified Date/Time: 2020-04-21 05:39:19 PM PDT
# Date Created: 2020-04-29 03:44:35 PM PDT
# Barcode: 
# Instrument Type: 7500 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 
# Instrument Serial Number: null
# Plate Run Start Date/Time: 2020-04-21 02:45:30 PM PDT
# Plate Run End Date/Time: 2020-04-21 04:40:26 PM PDT
# Run Duration: 114 minutes 56 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: Stage 1, Step 1
# Post-read Stage/Step: Stage 4, Step 1
# Passive Reference: null
# Quantification Cycle Method: CT
"Well","Well Position","Cycle Number","VIC","FAM"
"15","B3","9","10442.469","1189258.1"
"15","B3","10","10067.969","1193812.6"
"15","B3","11","10220.023","1192884.5"
"15","B3","12","10099.953","1195684.0"
"15","B3","13","10226.4375","1197679.6"
"15","B3","14","9936.273","1199832.2"
"15","B3","15","10065.828","1198744.6"
"15","B3","16","9911.75","1199363.6"
"15","B3","17","9781.875","1199938.8"
"15","B3","18","10117.555","1198877.6"
"15","B3","19","9723.977","1201570.5"
"15","B3","20","9817.898","1202440.8"
"15","B3","21","9829.461","1200873.9"
"15","B3","22","9916.523","1202754.5"
"15","B3","23","9895.4375","1202645.1"
"15","B3","24","10405.703","1201950.0"
"15","B3","25","10896.859","1203273.5"
"15","B3","26","12098.102","1201836.2"
"15","B3","27","14264.211","1201784.6"
"15","B3","28","18206.57","1203193.0"
"15","B3","29","25177.633","1203360.1"
"15","B3","30","36980.633","1201627.0"
"15","B3","31","54239.984","1202664.0"
"15","B3","32","75491.57","1200056.4"
"15","B3","33","96280.43","1199375.2"
"15","B3","34","113208.27","1199049.5"
"15","B3","35","124916.125","1198113.5"
"15","B3","36","132047.31","1199262.0"
"15","B3","37","137083.5","1198849.8"
"15","B3","38","139716.66","1198901.4"
"15","B3","39","141868.8","1197296.4"
"15","B3","40","143266.25","1197931.8"
"15","B3","41","144641.44","1199717.0"
"15","B3","42","145823.03","1200210.1"
"15","B3","43","147045.72","1200757.1"
"15","B3","44","148039.94","1199534.9"
"15","B3","45","148898.31","1199199.5"
"15","B3","46","149929.94","1200226.1"
"15","B3","47","150515.03","1201582.0"
"15","B3","48","151476.19","1201598.4"
"15","B3","49","152227.62","1200896.0"
"15","B3","50","152382.12","1201315.0"
"15","B3","51","152802.66","1199537.2"
"15","B3","52","148743.31","1225671.8"
"16","B4","1",,"77385.766"
"16","B4","2",,"75592.02"
"16","B4","3",,"76037.35"
"16","B4","4",,"75648.58"
"16","B4","5",,"75779.26"
"16","B4","6",,"76012.04"
"16","B4","7",,"76018.31"
"16","B4","8",,"76513.03"
"16","B4","9",,"76358.516"
"16","B4","10",,"76670.93"
"16","B4","11",,"76393.6"
"16","B4","12",,"76655.28"
"16","B4","13",,"77414.2"
"16","B4","14",,"77195.34"
"16","B4","15",,"77220.15"
"16","B4","16",,"77941.33"
"16","B4","17",,"77762.67"
"16","B4","18",,"77971.82"
"16","B4","19",,"78431.65"
"16","B4","20",,"79207.15"
"16","B4","21",,"80133.055"
"16","B4","22",,"82443.37"
"16","B4","23",,"87094.75"
"16","B4","24",,"95256.42"
"16","B4","25",,"110652.45"
"16","B4","26",,"139280.42"
"16","B4","27",,"186951.2"
"16","B4","28",,"258694.61"
"16","B4","29",,"346246.12"
"16","B4","30",,"433026.12"
"16","B4","31",,"501616.28"
"16","B4","32",,"546174.44"
"16","B4","33",,"575880.5"
"16","B4","34",,"599269.44"
"16","B4","35",,"620433.1"
"16","B4","36",,"641454.5"
"16","B4","37",,"660966.75"
"16","B4","38",,"679180.0"
"16","B4","39",,"697098.1"
"16","B4","40",,"712305.8"
"16","B4","41",,"727023.2"
"16","B4","42",,"740394.06"
"16","B4","43",,"752774.75"
"16","B4","44",,"764003.3"
"16","B4","45",,"773746.1"
"16","B4","46",,"784187.9"
"16","B4","47",,"792897.44"
"16","B4","48",,"801387.7"
"16","B4","49",,"809025.1"
"16","B4","50",,"815819.8"
"16","B4","51",,"822515.75"
"16","B4","52",,"875972.6"
"17","B5","1",,"73533.78"
"17","B5","2",,"72155.51"
"17","B5","3",,"71976.12"
"17","B5","4",,"71873.7"
"17","B5","5",,"72136.75"
"17","B5","6",,"71918.02"
"17","B5","7",,"71947.805"
"17","B5","8",,"72485.35"
"17","B5","9",,"72291.92"
"17","B5","10",,"72432.66"
"17","B5","11",,"72677.25"
"17","B5","12",,"72693.36"
"17","B5","13",,"72845.3"
"17","B5","14",,"73087.79"
"17","B5","15",,"72979.85"
"17","B5","16",,"74520.69"
"17","B5","17",,"74465.19"
"17","B5","18",,"74840.8"
"17","B5","19",,"76206.76"
"17","B5","20",,"77414.83"
"17","B5","21",,"79359.49"
"17","B5","22",,"84140.82"
"17","B5","23",,"93155.26"
"17","B5","24",,"109528.625"
"17","B5","25",,"138650.22"
"17","B5","26",,"187779.31"
"17","B5","27",,"258059.98"
"17","B5","28",,"340117.03"
"17","B5","29",,"415763.1"
"17","B5","30",,"472157.03"
"17","B5","31",,"509232.22"
"17","B5","32",,"536036.94"
"17","B5","33",,"557680.5"
"17","B5","34",,"578908.4"
"17","B5","35",,"598460.3"
"17","B5","36",,"617778.5"
"17","B5","37",,"634436.6"
"17","B5","38",,"650794.56"
"17","B5","39",,"664806.3"
"17","B5","40",,"678017.6"
"17","B5","41",,"689480.0"
"17","B5","42",,"700476.0"
"17","B5","43",,"711183.3"
"17","B5","44",,"721220.9"
"17","B5","45",,"729952.7"
"17","B5","46",,"737761.94"
"17","B5","47",,"746204.3"
"17","B5","48",,"753726.75"
"17","B5","49",,"759670.56"
"17","B5","50",,"765868.1"
"17","B5","51",,"770913.3"
"17","B5","52",,"821178.7"
"18","B6","1",,"78890.72"
"18","B6","2",,"76559.54"
"18","B6","3",,"77460.51"
"18","B6","4",,"77240.37"
"18","B6","5",,"77092.805"
"18","B6","6",,"76994.6"
"18","B6","7",,"76997.625"
"18","B6","8",,"77452.78"
"18","B6","9",,"77539.984"
"18","B6","10",,"77915.56"
"18","B6","11",,"77810.34"
"18","B6","12",,"78315.85"
"18","B6","13",,"78382.96"
"18","B6","14",,"78751.75"
"18","B6","15",,"78677.19"
"18","B6","16",,"78899.625"
"18","B6","17",,"78959.016"
"18","B6","18",,"79205.875"
"18","B6","19",,"79454.336"
"18","B6","20",,"79469.92"
