# Plate File Name: /Users/chazmanchilders/Desktop/20200421-zymo-negatives/Zymo_Negatives_2020-4-21.eds
# Description: 
# User Name: 
# Last Modified Date/Time: 2020-04-21 05:39:19 PM PDT
# Date Created: 2020-04-29 03:44:35 PM PDT
# Barcode: 
# Instrument Type: 7500 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 
# Instrument Serial Number: null
# Plate Run Start Date/Time: 2020-04-21 02:45:30 PM PDT
# Plate Run End Date/Time: 2020-04-21 04:40:26 PM PDT
# Run Duration: 114 minutes 56 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: Stage 1, Step 1
# Post-read Stage/Step: Stage 4, Step 1
# Passive Reference: null
# Quantification Cycle Method: CT
"Well","Well Position","Sample","Quantity","Target","Task","Reporter","Quencher","Amp Status","Cq","Cq Mean","Cq Confidence","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Delta Rn","Target Call","Well Call","Assessment","Omit"
"54","E6","Neg DG",,"Endo","UNKNOWN","FAM","NFQ-MGB","Amp","23.674883996269067","23.702850644469255","0.9925303364126512","0.039550813176529816","false","30000.0","true","3","14","786640.4541630246","Positive","Positive",,"false"
"56","E8","ICD",,"IEC","IPC","VIC","NFQ-MGB","Amp","18.81616386775304","18.89868039170757","0.9839840781449214","0.08007432791848752","false","9000.0","false","3","15","188859.65659340657","Positive","Undetermined",,"false"
"56","E8","ICD",,"nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","false","60000.0","false","3","15","-79121.44780219776","Negative","Undetermined",,"false"
"61","F1","Neg CC",,"IEC","UNKNOWN","VIC","NFQ-MGB","Amp","28.848479218377292","28.51308521442099","0.9820511049617257","0.28168620055400306","false","9000.0","false","3","15","146391.27781593407","Positive","Undetermined",,"false"
"61","F1","Neg CC",,"nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","false","60000.0","false","3","15","-15957.55082417584","Negative","Undetermined",,"false"
"62","F2","buffer and PCD 4",,"IEC","UNKNOWN","VIC","NFQ-MGB","Amp","27.87667443064879","27.164598228900527","0.9849024907031498","0.9128407404757404","false","9000.0","false","3","15","126057.6076150412","Positive","Undetermined",,"false"
"62","F2","buffer and PCD 4",,"nCoV","UNKNOWN","FAM","NFQ-MGB","Amp","32.615794818030835","32.73163906360701","0.7764815313771638","0.2175031607623102","false","60000.0","false","3","15","1276937.34478022","Positive","Undetermined",,"false"
"63","F3","Neg WC",,"IEC","UNKNOWN","VIC","NFQ-MGB","Amp","28.992800883667996","28.861096730723254","0.992945285596972","0.18625779931497238","false","9000.0","false","3","15","136309.94071943683","Positive","Undetermined",,"false"
"63","F3","Neg WC",,"nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","false","60000.0","false","3","15","-58677.978021977986","Negative","Undetermined",,"false"
"64","F4","Neg CC",,"Endo","UNKNOWN","FAM","NFQ-MGB","Amp","24.41000368430565","24.697966979480043","0.9853087147789044","0.4787833474175897","false","30000.0","true","3","17","696391.6806547618","Positive","Positive",,"false"
"65","F5","buffer and PCD 4",,"Endo","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","false","30000.0","true","3","49","-981.1025815217331","Negative","Negative",,"false"
"66","F6","Neg WC",,"Endo","UNKNOWN","FAM","NFQ-MGB","Amp","23.881847091932627","23.772284875836498","0.9838116427048623","0.15494437192720933","false","30000.0","true","3","17","712009.8326636904","Positive","Positive",,"false"
"68","F8","ICD",,"IEC","IPC","VIC","NFQ-MGB","Amp","18.903811580077637","18.89868039170757","0.9929484710766906","0.08007432791848752","false","9000.0","false","3","15","181593.40118475276","Positive","Undetermined",,"false"
"68","F8","ICD",,"nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","false","60000.0","false","3","15","-61486.22390109881","Negative","Undetermined",,"false"
"73","G1","Neg CC",,"IEC","UNKNOWN","VIC","NFQ-MGB","Amp","28.37059075731316","28.51308521442099","0.9840940719816645","0.28168620055400306","false","9000.0","false","3","15","138986.9797819368","Positive","Undetermined",,"false"
"73","G1","Neg CC",,"nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","false","60000.0","false","3","15","-30613.75686813185","Negative","Undetermined",,"false"
"74","G2","Water",,"IEC","UNKNOWN","VIC","NFQ-MGB","Amp","26.412964564025344","26.497164730140707","0.983056291859419","0.11907701687384575","false","9000.0","false","3","15","153759.7952867445","Positive","Undetermined",,"false"
"74","G2","Water",,"nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","false","60000.0","false","3","15","-125997.71909340665","Negative","Undetermined",,"false"
"75","G3","Neg WC",,"IEC","UNKNOWN","VIC","NFQ-MGB","Amp","28.729392577778512","28.861096730723254","0.9844624487753242","0.18625779931497238","false","9000.0","false","3","15","138388.12238152474","Positive","Undetermined",,"false"
"75","G3","Neg WC",,"nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","false","60000.0","false","3","15","-59532.24587912084","Negative","Undetermined",,"false"
"76","G4","Neg CC",,"Endo","UNKNOWN","FAM","NFQ-MGB","Amp","24.826624012907594","24.697966979480043","0.9898123761230829","0.4787833474175897","false","30000.0","true","3","17","696480.9565476191","Positive","Positive",,"false"
"77","G5","Water",,"Endo","UNKNOWN","FAM","NFQ-MGB","Amp","37.931067014128345","37.931067014128345","0.9785800800586104","","false","30000.0","true","3","28","414099.83991185896","Negative","Negative",,"false"
"78","G6","Neg WC",,"Endo","UNKNOWN","FAM","NFQ-MGB","Amp","23.662722659740368","23.772284875836498","0.9871813790318023","0.15494437192720933","false","30000.0","true","3","15","740758.4772063873","Positive","Positive",,"false"
