# Plate File Name: /Users/chazmanchilders/Desktop/20200421-zymo-negatives/Zymo_Negatives_2020-4-21.eds
# Description: 
# User Name: 
# Last Modified Date/Time: 2020-04-21 05:39:19 PM PDT
# Date Created: 2020-04-29 03:44:35 PM PDT
# Barcode: 
# Instrument Type: 7500 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 
# Instrument Serial Number: null
# Plate Run Start Date/Time: 2020-04-21 02:45:30 PM PDT
# Plate Run End Date/Time: 2020-04-21 04:40:26 PM PDT
# Run Duration: 114 minutes 56 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: Stage 1, Step 1
# Post-read Stage/Step: Stage 4, Step 1
# Passive Reference: null
# Quantification Cycle Method: CT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"73","G1","false","Neg CC","nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","60000.0","false","3","15"
"74","G2","false","Water","IEC","UNKNOWN","VIC","NFQ-MGB","Amp","2.44768256507186","","","26.412964564025344","0.983056291859419","26.497164730140707","0.11907701687384575","false","9000.0","false","3","15"
"74","G2","false","Water","nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","60000.0","false","3","15"
"75","G3","false","Neg WC","IEC","UNKNOWN","VIC","NFQ-MGB","Amp","2.4343307128234954","","","28.729392577778512","0.9844624487753242","28.861096730723254","0.18625779931497238","false","9000.0","false","3","15"
"75","G3","false","Neg WC","nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","1.179917741169944","","","Undetermined","0.0","","","false","60000.0","false","3","15"
"76","G4","false","Neg CC","Endo","UNKNOWN","FAM","NFQ-MGB","Amp","2.7416869205988594","","","24.826624012907594","0.9898123761230829","24.697966979480043","0.4787833474175897","false","30000.0","true","3","17"
"77","G5","false","Water","Endo","UNKNOWN","FAM","NFQ-MGB","Amp","2.636072071422876","","","37.931067014128345","0.9785800800586104","37.931067014128345","","false","30000.0","true","3","28"
"78","G6","false","Neg WC","Endo","UNKNOWN","FAM","NFQ-MGB","Amp","2.7540518265811573","","","23.662722659740368","0.9871813790318023","23.772284875836498","0.15494437192720933","false","30000.0","true","3","15"
"80","G8","false","ICD","IEC","IPC","VIC","NFQ-MGB","Amp","2.466149683291402","","","18.976065727292024","0.975113127847968","18.89868039170757","0.08007432791848752","false","9000.0","false","3","15"
"80","G8","false","ICD","nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","2.174832992048315","","","Undetermined","0.0","","","false","60000.0","false","3","15"
"85","H1","false","Neg CC","IEC","UNKNOWN","VIC","NFQ-MGB","Amp","2.436978738875226","","","28.624772920760783","0.9798253022014498","28.51308521442099","0.28168620055400306","false","9000.0","false","3","15"
"85","H1","false","Neg CC","nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","60000.0","false","3","15"
"86","H2","false","Water","IEC","UNKNOWN","VIC","NFQ-MGB","Amp","2.434944220906591","","","26.58136489625607","0.9881583245505441","26.497164730140707","0.11907701687384575","false","9000.0","false","3","15"
"86","H2","false","Water","nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","60000.0","false","3","15"
"87","H3","false","Empty","IEC","UNKNOWN","VIC","NFQ-MGB","Amp","2.442530460917793","","","25.29291474381599","0.9796406094491934","25.29291474381599","","false","9000.0","false","3","15"
"87","H3","false","Empty","nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","60000.0","false","3","15"
"88","H4","false","Neg CC","Endo","UNKNOWN","FAM","NFQ-MGB","Amp","2.731562147656647","","","25.314060110334736","0.9857343569008125","24.697966979480043","0.4787833474175897","false","30000.0","true","3","15"
"89","H5","false","Water","Endo","UNKNOWN","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","30000.0","true","3","49"
"90","H6","false","Empty","Endo","UNKNOWN","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","30000.0","true","3","49"
"92","H8","false","Negative Control","Endo","NTC","FAM","NFQ-MGB","Amp","2.664455561563523","","","35.01505988121363","0.9662334823086492","35.01505988121363","","false","30000.0","true","3","26"
