# Plate File Name: /Users/chazmanchilders/Desktop/20200418-zymo-lod/Zymo_LOD_1x_2020-04-18_Copy.eds
# Description: 
# User Name: 
# Last Modified Date/Time: 2020-04-20 09:59:51 AM PDT
# Date Created: 2020-04-20 09:46:05 AM PDT
# Barcode: 
# Instrument Type: 7500 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 
# Instrument Serial Number: null
# Plate Run Start Date/Time: 2020-04-18 07:08:17 PM PDT
# Plate Run End Date/Time: 2020-04-18 09:00:39 PM PDT
# Run Duration: 112 minutes 22 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: Stage 1, Step 1
# Post-read Stage/Step: Stage 4, Step 1
# Passive Reference: null
# Quantification Cycle Method: CT
"Well","Well Position","Cycle Number","VIC","FAM"
"8","A8","33","9386.52","1079646.8"
"8","A8","34","9149.449","1080342.9"
"8","A8","35","9509.744","1078991.1"
"8","A8","36","9114.81","1082502.1"
"8","A8","37","9435.961","1082061.2"
"8","A8","38","9259.371","1081564.6"
"8","A8","39","9506.105","1081130.5"
"8","A8","40","9506.962","1081967.2"
"8","A8","41","9355.887","1084102.4"
"8","A8","42","9190.544","1084548.4"
"8","A8","43","9475.916","1082742.2"
"8","A8","44","9336.273","1083921.5"
"8","A8","45","9509.839","1085155.0"
"8","A8","46","9302.971","1084450.2"
"8","A8","47","9278.759","1085687.9"
"8","A8","48","9587.1455","1084430.9"
"8","A8","49","9326.98","1087530.6"
"8","A8","50","9559.855","1086897.6"
"8","A8","51","9600.969","1087720.5"
"8","A8","52","9603.584","1089847.0"
"13","B1","1","-3438.0002","1202661.9"
"13","B1","2","3449.3833","1174233.4"
"13","B1","3","3083.7075","1183177.8"
"13","B1","4","3051.5059","1185753.6"
"13","B1","5","3093.6023","1186088.6"
"13","B1","6","3035.5647","1187453.2"
"13","B1","7","3148.0413","1187843.1"
"13","B1","8","3352.5813","1187553.0"
"13","B1","9","3259.6099","1189937.6"
"13","B1","10","3485.9458","1190116.5"
"13","B1","11","3282.2488","1190899.1"
"13","B1","12","3346.852","1191399.2"
"13","B1","13","3292.8362","1194130.0"
"13","B1","14","3401.8806","1191734.4"
"13","B1","15","3603.425","1213112.0"
"13","B1","16","3489.0984","1217296.2"
"13","B1","17","3323.1492","1218799.8"
"13","B1","18","4185.8477","1220570.6"
"13","B1","19","3915.746","1220105.8"
"13","B1","20","3864.1636","1219709.9"
"13","B1","21","4190.377","1219078.5"
"13","B1","22","3827.1562","1219396.0"
"13","B1","23","3856.3965","1220422.9"
"13","B1","24","3429.613","1220982.8"
"13","B1","25","4057.4773","1220154.8"
"13","B1","26","3708.5537","1221342.8"
"13","B1","27","3882.0808","1222193.2"
"13","B1","28","3813.1284","1222110.6"
"13","B1","29","3680.6667","1221252.6"
"13","B1","30","4059.6292","1223229.2"
"13","B1","31","3648.7458","1222937.8"
"13","B1","32","3986.6277","1223086.4"
"13","B1","33","4150.6353","1225025.5"
"13","B1","34","4497.8286","1226353.9"
"13","B1","35","4968.571","1230516.1"
"13","B1","36","5918.0425","1239756.8"
"13","B1","37","7029.7983","1254019.1"
